Time,Throughput
3.0,0.003232
3.5,0.0
4.0,0.0
4.5,0.0
5.0,0.007728
5.5,0.0
6.0,0.0
6.5,0.0
7.0,0.0
7.5,0.0
8.0,0.003232
8.5,0.0
9.0,0.003232
9.5,0.005296
10.0,0.004464
10.5,0.0
11.0,0.011824
11.5,0.0
12.0,0.0
12.5,0.0
13.0,0.004784
13.5,0.0
14.0,0.009664
14.5,0.004448
15.0,0.006128
15.5,0.005296
16.0,0.008992
16.5,0.0
17.0,0.008192
17.5,0.0
18.0,0.004784
18.5,0.0
19.0,0.004784
19.5,0.004784
20.0,0.003552
20.5,0.003232
21.0,0.007696
21.5,0.0
22.0,0.0
22.5,0.00776
23.0,0.001552
23.5,0.0
24.0,0.006336
24.5,0.0
25.0,0.003168
25.5,0.005296
26.0,0.003232
26.5,0.001616
27.0,0.0
27.5,0.003232
28.0,0.001552
28.5,0.0
29.0,0.003104
29.5,0.0
30.0,0.003168
30.5,0.0
31.0,0.0064
31.5,0.001616
32.0,0.001552
32.5,0.004848
33.0,0.0
33.5,0.0
34.0,0.001552
34.5,0.0
35.0,0.003168
35.5,0.0
36.0,0.0064
36.5,0.001616
37.0,0.001552
37.5,0.004848
38.0,0.0
38.5,0.0
39.0,0.0
39.5,0.0
40.0,0.001616
40.5,0.0
41.0,0.003168
41.5,0.001616
42.0,0.001552
42.5,0.001616
43.0,0.001616
43.5,0.0
44.0,0.0
44.5,0.001616
45.0,0.0
45.5,0.0
46.0,0.003168
46.5,0.0
47.0,0.001552
47.5,0.001616
48.0,0.001616
48.5,0.0
49.0,0.001616
49.5,0.001616
50.0,0.001616
50.5,0.0
51.0,0.0
51.5,0.0
52.0,0.0
52.5,0.0
53.0,0.001616
53.5,0.0
54.0,0.001616
54.5,0.001616
55.0,0.003232
55.5,0.0
56.0,0.001616
56.5,0.0
57.0,0.0
57.5,0.0
58.0,0.001616
58.5,0.0
59.0,0.001616
59.5,0.001616
60.0,0.003232
60.5,0.0
61.0,0.001616
