Time,Throughput
3.5,0.054224
4.0,0.039072
4.5,0.037648
5.0,0.102592
5.5,0.076896
6.0,0.07976
6.5,0.078304
7.0,0.085296
7.5,0.08104
8.0,0.076544
8.5,0.073632
9.0,0.07624
9.5,0.074528
10.0,0.079232
10.5,0.048208
11.0,0.111616
11.5,0.086848
12.0,0.079024
12.5,0.073296
13.0,0.081184
13.5,0.073696
14.0,0.0832
14.5,0.073216
15.0,0.085344
15.5,0.083152
16.0,0.079872
16.5,0.071456
17.0,0.08016
17.5,0.0716
18.0,0.056928
18.5,0.10104
19.0,0.079632
19.5,0.058976
20.0,0.012144
20.5,0.007472
21.0,0.012224
21.5,0.013488
22.0,0.010896
22.5,0.007056
23.0,0.011328
23.5,0.007136
24.0,0.012768
24.5,0.015056
25.0,0.033344
25.5,0.036256
26.0,0.029344
26.5,0.023472
27.0,0.03496
27.5,0.047696
28.0,0.091632
28.5,0.092048
29.0,0.120848
29.5,0.08368
30.0,0.066832
30.5,0.077328
31.0,0.07688
31.5,0.085072
32.0,0.069264
32.5,0.083392
33.0,0.07288
33.5,0.018016
