Time,Throughput
3.5,0.004096
4.0,0.004096
4.5,0.004096
5.0,0.670464
5.5,1.531072
6.0,3.366336
6.5,1.782336
7.0,1.967488
7.5,1.681024
8.0,1.225664
8.5,1.267712
9.0,1.367424
9.5,1.535104
10.0,1.87168
10.5,1.832576
11.0,1.486336
11.5,1.03744
12.0,1.240576
12.5,1.747264
13.0,1.187776
13.5,1.363392
14.0,1.333696
14.5,1.0432
15.0,1.08096
15.5,1.525568
16.0,1.221632
16.5,1.348608
17.0,1.343232
17.5,0.944576
18.0,0.816128
18.5,1.651328
19.0,1.772928
19.5,1.304128
20.0,1.328448
20.5,1.33664
21.0,1.327104
21.5,1.327104
22.0,1.327104
22.5,1.332608
23.0,1.327104
23.5,1.327104
24.0,1.327104
24.5,1.329792
25.0,1.3568
25.5,1.343232
26.0,0.902656
26.5,0.85952
27.0,1.446976
27.5,1.149888
28.0,1.36352
28.5,1.353984
29.0,1.355328
29.5,1.35936
30.0,1.35264
30.5,1.3568
31.0,1.362048
31.5,1.356672
32.0,1.358016
32.5,1.360832
33.0,1.012032
33.5,1.675648
34.0,1.364736
34.5,1.358016
35.0,1.364864
35.5,1.353984
36.0,1.355328
36.5,1.332352
37.0,1.36352
37.5,1.353984
38.0,1.360704
38.5,1.101248
39.0,1.305344
39.5,1.336384
40.0,1.362048
40.5,1.360704
41.0,1.435008
41.5,1.366208
42.0,1.360704
42.5,1.355328
43.0,1.36608
43.5,1.06752
44.0,1.451264
44.5,1.266112
45.0,1.362048
45.5,1.368896
46.0,1.363392
46.5,1.35936
47.0,1.362048
47.5,1.55392
48.0,1.808128
48.5,1.893184
49.0,1.859456
49.5,1.863488
50.0,1.87424
50.5,1.748608
51.0,1.06336
51.5,1.48096
52.0,1.572992
52.5,1.356672
53.0,1.344448
53.5,1.362048
54.0,1.358016
54.5,1.366208
55.0,1.364736
55.5,1.587776
56.0,1.141696
56.5,1.368768
57.0,1.372928
57.5,1.358016
58.0,1.224192
58.5,1.386368
59.0,1.07424
59.5,1.336384
60.0,1.379648
60.5,1.053952
61.0,1.549888
61.5,1.205248
62.0,0.863424
62.5,0.817472
63.0,1.568832
